LOOPNr,ID,method,DGUnr,Depth (m),F⁻ [mg/L],Cl⁻ [mg/L],Br⁻ [mg/L],NO₃⁻ [mg/L],PO₄⁻ [mg/L],SO2-4 [mg/L],NH₄⁺ [μg/L],DOC [mg/L],TIC [mg/L],δ¹⁸O [‰],δD [‰],Al [mg/L],Ba [mg/L],Ca [mg/L],Fe [mg/L],K [mg/L],Mg [mg/L],Mn [mg/L],Na [mg/L],Ni [mg/L],Sr [mg/L],Fe(II)_FA [mg/kg],Fe(total)_FA [mg/kg],Fe(II)/Fe(total) [-]
LOOP6,P3,GeoProbe,159.1695,2.4,0.19,56.85,0.18,128.58,0.3,20.62,298.44,32.48,2.11,-7.02,-48.58,0.17,0.05,57.87,0.12,13.17,8.2,0.47,22.97,0.58,0.14,,,
LOOP6,P3,GeoProbe,159.1695,3.36,,,,,,,,,,,,,,,,,,,,,,0.6,104.6,0.01
LOOP6,P3,GeoProbe,159.1695,3.615,0.45,20.76,0.09,89.45,0.33,16.5,378.32,51.85,0.86,-7.38,-50.08,0.19,0.02,25.71,0.16,14.06,5.44,0.22,20.26,0.02,0.08,,,
LOOP6,P3,GeoProbe,159.1695,3.62,0.45,20.76,0.09,89.45,0.33,16.5,378.32,51.85,0.86,-7.38,-50.08,0.19,0.02,25.71,0.16,14.06,5.44,0.22,20.26,0.02,0.08,,,
LOOP6,P3,GeoProbe,159.1695,4.565,,,,,,,,,,,,,,,,,,,,,,1.8,175.1,0.01
LOOP6,P3,GeoProbe,159.1695,4.835,0.1,17.67,0.11,55.92,0.02,28.69,129.29,21.93,2.05,-6.92,-44.47,0.14,0.07,27.01,0.1,9.57,3.66,0.45,14.38,0.03,0.14,,,
LOOP6,P3,GeoProbe,159.1695,4.84,0.1,17.67,0.11,55.92,0.02,28.69,129.29,21.93,2.05,-6.92,-44.47,0.14,0.07,27.01,0.1,9.57,3.66,0.45,14.38,0.03,0.14,,,
LOOP6,P3,GeoProbe,159.1695,5.705,,,,,,,,,,,,,,,,,,,,,,1.3,209.2,0.01
LOOP6,P3,GeoProbe,159.1695,6.01,0.34,20.77,0.09,42.88,0.02,61.93,19.42,,48.81,,,0.17,0.04,98.08,0.16,3.78,10.17,0.02,23.39,0.01,0.35,,,
LOOP6,P3,GeoProbe,159.1695,6.01,0.34,20.77,0.09,42.88,0.02,61.93,19.42,,48.81,,,0.17,0.04,98.08,0.16,3.78,10.17,0.02,23.39,0.01,0.35,,,
LOOP6,P3,GeoProbe,159.1695,6.01,0.34,20.77,0.09,42.88,0.02,61.93,19.42,,48.81,,,0.17,0.04,98.08,0.16,3.78,10.17,0.02,23.39,0.01,0.35,,,
LOOP6,P3,GeoProbe,159.1695,6.01,0.34,20.77,0.09,42.88,0.02,61.93,19.42,,48.81,,,0.17,0.04,98.08,0.16,3.78,10.17,0.02,23.39,0.01,0.35,,,
LOOP6,P3,GeoProbe,159.1695,6.505,0.49,17.44,0.09,58.29,0.02,24.39,39.83,32.46,4.76,-6.78,-44.55,0.15,0.11,30.28,0.1,3.71,5.29,0.05,19.72,0.01,0.2,,,
LOOP6,P3,GeoProbe,159.1695,6.51,0.49,17.44,0.09,58.29,0.02,24.39,39.83,32.46,4.76,-6.78,-44.55,0.15,0.11,30.28,0.1,3.71,5.29,0.05,19.72,0.01,0.2,,,
LOOP6,P3,GeoProbe,159.1695,6.725,0.51,23.71,0.09,45.28,0.02,42.66,44.66,36.07,27.85,-7.14,-47.41,0.16,0.08,67.21,0.15,2.34,7.73,0.02,25.75,0.01,0.33,,,
LOOP6,P3,GeoProbe,159.1695,6.73,0.51,23.71,0.09,45.28,0.02,42.66,44.66,36.07,27.85,-7.14,-47.41,0.16,0.08,67.21,0.15,2.34,7.73,0.02,25.75,0.01,0.33,,,
LOOP6,P3,GeoProbe,159.1695,6.82,,,,,,,,,,,,,,,,,,,,,,3.1,96.3,0.03
LOOP6,P3,GeoProbe,159.1695,7.175,0.29,24.61,0.13,0.68,0.02,64.84,62.91,32.56,20.27,-7.72,-51.26,0.15,0.03,56.97,0.17,1.89,4.61,0.03,20.04,0.01,0.18,,,
LOOP6,P3,GeoProbe,159.1695,7.18,0.29,24.61,0.13,0.68,0.02,64.84,62.91,32.56,20.27,-7.72,-51.26,0.15,0.03,56.97,0.17,1.89,4.61,0.03,20.04,0.01,0.18,,,
LOOP6,P3,GeoProbe,159.1695,7.71,,,,,,,,,,,,,,,,,,,,,,26.6,201.1,0.13
LOOP6,P3,GeoProbe,159.1695,8.055,1.38,26.16,0.12,0.14,0.02,79.02,72.5,,10.69,,,0.17,0.08,44.42,0.03,1.37,4.09,0.15,31.41,0,0.16,,,
LOOP6,P3,GeoProbe,159.1695,8.06,1.38,26.16,0.12,0.14,0.02,79.02,72.5,,10.69,,,0.17,0.08,44.42,0.03,1.37,4.09,0.15,31.41,0,0.16,,,
LOOP6,P3,GeoProbe,159.1695,8.15,,,,,,,,,,,,,,,,,,,,,,446.8,506.2,0.88
LOOP6,P3,GeoProbe,159.1695,8.495,1.03,24.38,0.11,0.39,0.17,62.42,116.9,59.94,7.44,,,0.17,0.05,35.72,0.03,1.82,3.29,0.07,20.94,0,0.14,,,
LOOP6,P3,GeoProbe,159.1695,8.5,1.03,24.38,0.11,0.39,0.17,62.42,116.9,59.94,7.44,,,0.17,0.05,35.72,0.03,1.82,3.29,0.07,20.94,0,0.14,,,
LOOP6,P3,GeoProbe,159.1695,9.025,0.51,20.85,0.15,0.06,0.02,39.61,117.06,35.41,14.7,-7.87,-52.38,0.16,0.05,40.51,0.03,1.91,3.89,0.1,14.43,0.01,0.14,,,
LOOP6,P3,GeoProbe,159.1695,9.03,0.51,20.85,0.15,0.06,0.02,39.61,117.06,35.41,14.7,-7.87,-52.38,0.16,0.05,40.51,0.03,1.91,3.89,0.1,14.43,0.01,0.14,,,
LOOP6,P3,GeoProbe,159.1695,9.37,,,,,,,,,,,,,,,,,,,,,,808,911.4,0.89
LOOP6,P3,GeoProbe,159.1695,9.715,0.98,27.19,0.12,0.29,0.38,58.27,225.03,53.39,15.07,,,0.15,0.07,46.1,0.03,2.62,5.76,0.07,26.39,0.01,0.29,,,
LOOP6,P3,GeoProbe,159.1695,9.72,0.98,27.19,0.12,0.29,0.38,58.27,225.03,53.39,15.07,,,0.15,0.07,46.1,0.03,2.62,5.76,0.07,26.39,0.01,0.29,,,
LOOP6,P4,GeoProbe,159.1696,1.705,0.67,34.27,0.11,121.23,0.07,19.77,156.71,37.01,1.61,-6.82,-44.69,0.35,0.19,38.94,0.03,4.61,5.3,0.12,35.79,0.01,0.27,,,
LOOP6,P4,GeoProbe,159.1696,1.71,0.67,34.27,0.11,121.23,0.07,19.77,156.71,37.01,1.61,-6.82,-44.69,0.35,0.19,38.94,0.03,4.61,5.3,0.12,35.79,0.01,0.27,,,
LOOP6,P4,GeoProbe,159.1696,2.3,,,,,,,,,,,,,,,,,,,,,,175,766.2,0.23
LOOP6,P4,GeoProbe,159.1696,2.395,0.15,57.14,0.16,240.06,0.02,11.61,72.62,69.36,3.69,-5.95,-40.61,0.14,0.14,64.89,0.03,16.11,12.54,0.13,37.48,0.01,0.28,,,
LOOP6,P4,GeoProbe,159.1696,2.4,0.15,57.14,0.16,240.06,0.02,11.61,72.62,69.36,3.69,-5.95,-40.61,0.14,0.14,64.89,0.03,16.11,12.54,0.13,37.48,0.01,0.28,,,
LOOP6,P4,GeoProbe,159.1696,3.52,,,,,,,,,,,,,,,,,,,,,,3.4,119.6,0.03
LOOP6,P4,GeoProbe,159.1696,4.74,,,,,,,,,,,,,,,,,,,,,,2.4,228.3,0.01
LOOP6,P4,GeoProbe,159.1696,4.835,0.72,33.3,0.12,70.67,0.02,18.5,110.86,36.05,6.89,-7.14,-45.57,0.2,0.18,23.61,0.03,2.99,13.41,0.28,32.99,0.03,0.28,,,
LOOP6,P4,GeoProbe,159.1696,4.84,0.72,33.3,0.12,70.67,0.02,18.5,110.86,36.05,6.89,-7.14,-45.57,0.2,0.18,23.61,0.03,2.99,13.41,0.28,32.99,0.03,0.28,,,
LOOP6,P4,GeoProbe,159.1696,5.96,,,,,,,,,,,,,,,,,,,,,,38.2,162.5,0.23
LOOP6,P4,GeoProbe,159.1696,6.055,0.72,28.73,0.11,83.36,0.02,28.63,104.33,69.63,7.56,,,0.2,0.13,24.76,0.03,2.07,11.35,0.08,41.81,0.03,0.35,,,
LOOP6,P4,GeoProbe,159.1696,6.06,0.72,28.73,0.11,83.36,0.02,28.63,104.33,69.63,7.56,,,0.2,0.13,24.76,0.03,2.07,11.35,0.08,41.81,0.03,0.35,,,
LOOP6,P4,GeoProbe,159.1696,6.09,,,,,,,,,,,,,,,,,,,,,,106.6,134.5,0.79
LOOP6,P4,GeoProbe,159.1696,6.185,0.47,21.4,0.13,0.09,0.02,67.18,143.81,50.97,5.76,-7.11,-45.7,0.16,0.05,17.19,0.03,2.44,9.72,0.14,25.3,0.17,0.2,,,
LOOP6,P4,GeoProbe,159.1696,6.19,0.47,21.4,0.13,0.09,0.02,67.18,143.81,50.97,5.76,-7.11,-45.7,0.16,0.05,17.19,0.03,2.44,9.72,0.14,25.3,0.17,0.2,,,
LOOP6,P4,GeoProbe,159.1696,7.18,,,,,,,,,,,,,,,,,,,,,,258.1,288.6,0.89
LOOP6,P4,GeoProbe,159.1696,7.275,1.38,57.14,0.4,0.26,0.15,106.18,289.75,72.23,25.88,,,0.15,0.07,74.54,0.03,4.83,13.09,0.22,41.8,0.04,0.47,,,
LOOP6,P4,GeoProbe,159.1696,7.28,1.38,57.14,0.4,0.26,0.15,106.18,289.75,72.23,25.88,,,0.15,0.07,74.54,0.03,4.83,13.09,0.22,41.8,0.04,0.47,,,
LOOP6,P5,GeoProbe,159.1697,2.3,,,,,,,,,,,,,,,,,,,,,,0.5,34.6,0.01
LOOP6,P5,GeoProbe,159.1697,2.395,0.48,34.88,0.21,69.19,0.02,20.24,80.68,37.49,4.01,-7.13,-46,0.34,0.15,19.67,0.03,3.21,7.29,0.62,36.51,0.03,0.15,,,
LOOP6,P5,GeoProbe,159.1697,2.4,0.48,34.88,0.21,69.19,0.02,20.24,80.68,37.49,4.01,-7.13,-46,0.34,0.15,19.67,0.03,3.21,7.29,0.62,36.51,0.03,0.15,,,
LOOP6,P5,GeoProbe,159.1697,3.52,,,,,,,,,,,,,,,,,,,,,,0.3,23.6,0.01
LOOP6,P5,GeoProbe,159.1697,3.615,0.17,37.14,0.11,71.49,0.02,38.73,72.98,29.05,6.58,-6.84,-43.35,0.24,0.04,41.5,0.03,12.28,5.77,0.83,22.6,0.02,0.11,,,
LOOP6,P5,GeoProbe,159.1697,3.62,0.17,37.14,0.11,71.49,0.02,38.73,72.98,29.05,6.58,-6.84,-43.35,0.24,0.04,41.5,0.03,12.28,5.77,0.83,22.6,0.02,0.11,,,
LOOP6,P5,GeoProbe,159.1697,4.785,,,,,,,,,,,,,,,,,,,,,,0.1,9.2,0.01
LOOP6,P5,GeoProbe,159.1697,4.835,0.6,15.06,0.02,47.53,0.02,29.9,39.24,105.62,4.47,,,0.16,0.07,22.94,0.03,7.46,4.85,0.03,27.42,0,0.09,,,
LOOP6,P5,GeoProbe,159.1697,4.84,0.6,15.06,0.02,47.53,0.02,29.9,39.24,105.62,4.47,,,0.16,0.07,22.94,0.03,7.46,4.85,0.03,27.42,0,0.09,,,
LOOP6,P5,GeoProbe,159.1697,5.96,,,,,,,,,,,,,,,,,,,,,,0.2,19,0.01
LOOP6,P5,GeoProbe,159.1697,6.055,0.62,21.53,0.02,120.41,0.02,12.27,265.37,92.98,3.1,-7.17,-46.77,0.17,0.12,33.55,0.03,10.54,3.22,1.22,22.95,0.06,0.13,,,
LOOP6,P5,GeoProbe,159.1697,6.06,0.62,21.53,0.02,120.41,0.02,12.27,265.37,92.98,3.1,-7.17,-46.77,0.17,0.12,33.55,0.03,10.54,3.22,1.22,22.95,0.06,0.13,,,
LOOP6,P5,GeoProbe,159.1697,6.615,,,,,,,,,,,,,,,,,,,,,,12.9,157.9,0.08
LOOP6,P5,GeoProbe,159.1697,6.69,,,,,,,,,,,,,,,,,,,,,,0.2,34.8,0.01
LOOP6,P5,GeoProbe,159.1697,6.75,,,,,,,,,,,,,,,,,,,,,,2.5,234.4,0.01
LOOP6,P5,GeoProbe,159.1697,7.155,0.05,40.03,0.09,52.32,0.02,26.74,53.32,31.17,6.32,-7.05,-46.68,0.13,0.07,38.98,0.03,6.24,4.39,0.15,26.08,0.01,0.14,,,
LOOP6,P5,GeoProbe,159.1697,7.16,0.05,40.03,0.09,52.32,0.02,26.74,53.32,31.17,6.32,-7.05,-46.68,0.13,0.07,38.98,0.03,6.24,4.39,0.15,26.08,0.01,0.14,,,
LOOP6,P5,GeoProbe,159.1697,7.715,0.07,45.39,0.02,7.93,0.02,43.76,11.34,33.07,9.29,-7.21,-47.64,0.13,0.06,32.69,0.03,3.41,6.12,0.53,33.16,0.05,0.18,,,
LOOP6,P5,GeoProbe,159.1697,7.72,0.07,45.39,0.02,7.93,0.02,43.76,11.34,33.07,9.29,-7.21,-47.64,0.13,0.06,32.69,0.03,3.41,6.12,0.53,33.16,0.05,0.18,,,
LOOP6,P5,GeoProbe,159.1697,7.79,,,,,,,,,,,,,,,,,,,,,,0.6,54,0.01
LOOP6,P5,GeoProbe,159.1697,8.435,0.08,81.58,0.19,0.02,0.02,50.81,336.85,42.46,8.27,-7.27,-47.88,0.14,0.07,31.17,0.03,3.09,4.84,0.11,53.69,0.05,0.15,,,
LOOP6,P5,GeoProbe,159.1697,8.44,0.08,81.58,0.19,0.02,0.02,50.81,336.85,42.46,8.27,-7.27,-47.88,0.14,0.07,31.17,0.03,3.09,4.84,0.11,53.69,0.05,0.15,,,
LOOP6,P5,GeoProbe,159.1697,8.51,,,,,,,,,,,,,,,,,,,,,,2.3,27,0.08
LOOP6,P5,GeoProbe,159.1697,9.61,0.31,33.19,0.06,0.02,0.02,61.95,803.49,41.3,19.75,,,0.11,0.12,45.53,1,4.47,9.41,0.85,19.11,0.01,0.21,,,
LOOP6,P5,GeoProbe,159.1697,9.61,0.31,33.19,0.06,0.02,0.02,61.95,803.49,41.3,19.75,,,0.11,0.12,45.53,1,4.47,9.41,0.85,19.11,0.01,0.21,,,
LOOP6,P5,GeoProbe,159.1697,9.61,0.31,33.19,0.06,0.02,0.02,61.95,803.49,41.3,19.75,,,0.11,0.12,45.53,1,4.47,9.41,0.85,19.11,0.01,0.21,,,
LOOP6,P5,GeoProbe,159.1697,9.61,0.31,33.19,0.06,0.02,0.02,61.95,803.49,41.3,19.75,,,0.11,0.12,45.53,1,4.47,9.41,0.85,19.11,0.01,0.21,,,
LOOP6,P5,GeoProbe,159.1697,9.705,,,,,,,,,,,,,,,,,,,,,,26.4,38,0.69
LOOP6,P5,GeoProbe,159.1697,10.935,0.2,32.16,0.16,0.05,0.02,63.67,809.51,47.62,22.43,-7.54,-50.15,0.11,0.1,43.51,0.58,6.81,8.86,0.77,24.77,0.01,0.21,,,
LOOP6,P5,GeoProbe,159.1697,10.94,0.2,32.16,0.16,0.05,0.02,63.67,809.51,47.62,22.43,-7.54,-50.15,0.11,0.1,43.51,0.58,6.81,8.86,0.77,24.77,0.01,0.21,,,
LOOP6,P6,GeoProbe,159.1698,2.3,,,,,,,,,,,,,,,,,,,,,,235.7,326,0.72
LOOP6,P6,GeoProbe,159.1698,2.395,0.1,21.55,0.1,39.08,0.02,31.29,3.15,28.11,19.32,-7.26,-46.46,0.18,0.1,42.46,0.03,11.54,8.39,0.03,13.67,0.01,0.13,,,
LOOP6,P6,GeoProbe,159.1698,2.4,0.1,21.55,0.1,39.08,0.02,31.29,3.15,28.11,19.32,-7.26,-46.46,0.18,0.1,42.46,0.03,11.54,8.39,0.03,13.67,0.01,0.13,,,
LOOP6,P6,GeoProbe,159.1698,3.34,0.28,23.67,0.15,35.39,0.16,31.73,32.13,25.07,16.42,-7.19,-46,0.23,0.15,44.05,0.03,8.18,8.01,0.05,18.87,0.01,0.18,,,
LOOP6,P6,GeoProbe,159.1698,3.34,0.28,23.67,0.15,35.39,0.16,31.73,32.13,25.07,16.42,-7.19,-46,0.23,0.15,44.05,0.03,8.18,8.01,0.05,18.87,0.01,0.18,,,
LOOP6,P6,GeoProbe,159.1698,3.34,0.28,23.67,0.15,35.39,0.16,31.73,32.13,25.07,16.42,-7.19,-46,0.23,0.15,44.05,0.03,8.18,8.01,0.05,18.87,0.01,0.18,,,
LOOP6,P6,GeoProbe,159.1698,3.34,0.28,23.67,0.15,35.39,0.16,31.73,32.13,25.07,16.42,-7.19,-46,0.23,0.15,44.05,0.03,8.18,8.01,0.05,18.87,0.01,0.18,,,
LOOP6,P6,GeoProbe,159.1698,3.57,0.21,24.53,0.15,28.55,0.02,31.86,38.68,29.6,,-7.28,-46.65,0.14,0.08,40.26,0.03,5.09,7.67,0.28,17.99,0.01,0.17,,,
LOOP6,P6,GeoProbe,159.1698,3.57,0.21,24.53,0.15,28.55,0.02,31.86,38.68,29.6,,-7.28,-46.65,0.14,0.08,40.26,0.03,5.09,7.67,0.28,17.99,0.01,0.17,,,
LOOP6,P6,GeoProbe,159.1698,3.57,0.21,24.53,0.15,28.55,0.02,31.86,38.68,29.6,,-7.28,-46.65,0.14,0.08,40.26,0.03,5.09,7.67,0.28,17.99,0.01,0.17,,,
LOOP6,P6,GeoProbe,159.1698,3.57,0.21,24.53,0.15,28.55,0.02,31.86,38.68,29.6,,-7.28,-46.65,0.14,0.08,40.26,0.03,5.09,7.67,0.28,17.99,0.01,0.17,,,
LOOP6,P6,GeoProbe,159.1698,3.6375,,,,,,,,,,,,,,,,,,,,,,0.8,115.6,0.01
LOOP6,P6,GeoProbe,159.1698,4.735,0.15,18.58,0.08,25.98,0.02,28.63,45.39,14.74,14.03,-7.18,-45.47,0.13,0.05,36.72,0.03,2.4,7.64,0.02,15.19,0,0.17,,,
LOOP6,P6,GeoProbe,159.1698,4.74,0.15,18.58,0.08,25.98,0.02,28.63,45.39,14.74,14.03,-7.18,-45.47,0.13,0.05,36.72,0.03,2.4,7.64,0.02,15.19,0,0.17,,,
LOOP6,P6,GeoProbe,159.1698,4.83,,,,,,,,,,,,,,,,,,,,,,0.3,105.3,0
LOOP6,P6,GeoProbe,159.1698,5.67,0.19,31.37,0.09,5.1,0.02,49.72,12.45,42.52,,-7.18,-47.24,0.17,0.06,87.91,0.03,2.82,8.1,0.08,23.24,0.01,0.25,,,
LOOP6,P6,GeoProbe,159.1698,5.67,0.19,31.37,0.09,5.1,0.02,49.72,12.45,42.52,,-7.18,-47.24,0.17,0.06,87.91,0.03,2.82,8.1,0.08,23.24,0.01,0.25,,,
LOOP6,P6,GeoProbe,159.1698,5.67,0.19,31.37,0.09,5.1,0.02,49.72,12.45,42.52,,-7.18,-47.24,0.17,0.06,87.91,0.03,2.82,8.1,0.08,23.24,0.01,0.25,,,
LOOP6,P6,GeoProbe,159.1698,5.67,0.19,31.37,0.09,5.1,0.02,49.72,12.45,42.52,,-7.18,-47.24,0.17,0.06,87.91,0.03,2.82,8.1,0.08,23.24,0.01,0.25,,,
LOOP6,P6,GeoProbe,159.1698,6.015,0.25,37.43,0.07,2.1,0.02,61.89,16.37,25.85,41.86,-7.52,-48.62,0.15,0.08,82.44,0.03,3.42,7.17,0.16,28.42,0.01,0.27,,,
LOOP6,P6,GeoProbe,159.1698,6.02,0.25,37.43,0.07,2.1,0.02,61.89,16.37,25.85,41.86,-7.52,-48.62,0.15,0.08,82.44,0.03,3.42,7.17,0.16,28.42,0.01,0.27,,,
LOOP6,P6,GeoProbe,159.1698,6.08,,,,,,,,,,,,,,,,,,,,,,163.3,302.9,0.54
LOOP6,P6,GeoProbe,159.1698,6.54,,,,,,,,,,,,,,,,,,,,,,480.8,606.5,0.79
LOOP6,P6,GeoProbe,159.1698,6.635,2.25,43.31,0.14,0.32,0.05,65.15,178.14,,,,,0.14,0.08,62.28,0.03,3.5,7.56,0.08,44.51,0.02,0.52,,,
